vehicle_id,occupant_count,mean_anomaly_score_bits,median_anomaly_score_bits,maximum_anomaly_score_bits,std_anomaly_score_bits,minimum_anomaly_score_bits,baseline_occupants,moderate_occupants,elevated_occupants,high_occupants,extreme_occupants,anomalous_occupants,high_or_extreme_occupants,extreme_occupant_count,anomalous_occupant_fraction,high_or_extreme_fraction,maximum_anomaly_occupant_id,maximum_anomaly_dominant_contributor,maximum_anomaly_tier,vehicle_dominant_contributor,vehicle_anomaly_tier,vehicle_anomaly_score_bits,multi_occupant_anomaly,multiple_high_or_extreme,vehicle_anomaly_percentile
360250421.0,2,11.705850561977291,11.705850561977291,17.480726212063832,8.166907465370532,5.9309749118907495,1,0,0,1,0,1,1,0,0.5,0.5,360250424.0,belt_failure,HIGH,seat_track_position,HIGH,17.480726212063832,False,False,97.44525547445255
852185117.0,1,17.389839099200707,17.389839099200707,17.389839099200707,0.0,17.389839099200707,0,0,0,1,0,1,1,0,1.0,1.0,852185119.0,belt_failure,HIGH,belt_failure,HIGH,17.389839099200707,False,False,97.39311783107404
852116058.0,2,15.167868289957212,15.167868289957212,17.340202995530312,3.072145202635243,12.99553358438411,0,1,0,1,0,2,1,0,1.0,0.5,852116061.0,belt_anchorage,HIGH,belt_anchorage,HIGH,17.340202995530312,True,False,97.34098018769551
360222758.0,6,12.412512555337893,11.976530305548987,17.33573480826348,2.7318170476297574,9.804922935534275,3,2,0,1,0,3,1,0,0.5,0.16666666666666666,360222761.0,seat_position,HIGH,seat_type,HIGH,17.33573480826348,True,False,97.288842544317
349207759.0,1,17.17562060930996,17.17562060930996,17.17562060930996,0.0,17.17562060930996,0,0,0,1,0,1,1,0,1.0,1.0,349207761.0,belt_failure,HIGH,belt_failure,HIGH,17.17562060930996,False,False,97.23670490093848
599000082.0,4,13.28800647570775,13.461442015710714,17.154970388639708,3.3508811281526794,9.074171482769854,1,1,1,1,0,3,1,0,0.75,0.25,599005642.0,seat_type,HIGH,seat_performance,HIGH,17.154970388639708,True,False,97.18456725755996
347687645.0,2,14.296186977193793,14.296186977193793,17.141783563033957,4.024281284737736,11.450590391353629,1,0,0,1,0,1,1,0,0.5,0.5,347687648.0,belt_failure,HIGH,belt_anchorage,HIGH,17.141783563033957,False,False,97.13242961418143
599037046.0,4,12.836672510382485,13.51174883234124,17.085223468234446,4.121196473995244,7.237968908613016,1,1,1,1,0,3,1,0,0.75,0.25,599037051.0,seat_track_position,HIGH,seat_track_position,HIGH,17.085223468234446,True,False,97.08029197080292
556122984.0,2,13.50522355016481,13.50522355016481,17.083338769744323,5.0602190712629325,9.927108330585297,1,0,0,1,0,1,1,0,0.5,0.5,556122985.0,belt_anchorage,HIGH,belt_anchorage,HIGH,17.083338769744323,False,False,97.0281543274244
347587027.0,1,17.062855655205993,17.062855655205993,17.062855655205993,0.0,17.062855655205993,0,0,0,1,0,1,1,0,1.0,1.0,347587028.0,posture,HIGH,posture,HIGH,17.062855655205993,False,False,96.97601668404589
897025111.0,2,11.442480984577227,11.442480984577227,17.059754457110394,7.944024328415015,5.825207512044061,1,0,0,1,0,1,1,0,0.5,0.5,897025113.0,posture,HIGH,seat_track_position,HIGH,17.059754457110394,False,False,96.92387904066736
359458602.0,3,14.546886170662988,13.550543966020284,16.99303472004445,2.1305256336920784,13.097079825924231,0,2,0,1,0,3,1,0,1.0,0.3333333333333333,359458604.0,posture,HIGH,seat_performance,HIGH,16.99303472004445,True,False,96.87174139728884
