vehicle_id,occupant_id,seat_location_id,seat_position,occupant_role,seat_track_position,posture,seat_type,seat_performance,belt_availability,belt_use,belt_failure,belt_anchorage,total_surprisal_bits,total_backoff_level,seat_position_surprisal_bits,occupant_role_surprisal_bits,seat_track_position_surprisal_bits,seat_type_surprisal_bits,posture_surprisal_bits,belt_use_surprisal_bits,belt_anchorage_surprisal_bits,belt_failure_surprisal_bits,belt_availability_surprisal_bits,seat_performance_surprisal_bits,anomaly_score_bits,anomaly_percentile,anomaly_tier,dominant_contributor,dominant_contribution_bits,dominant_contribution_percent,occupant_state_vector
110163008.0,110163010.0,110163055.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BUCKET,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,MID POSITION,9.16063750947706,0,0.672794206367598,-0.0,2.1835354329609653,0.31595772557084123,0.20546911829997946,0.3336791005797198,3.004413264502658,0.016927121558869277,-0.0,2.427861539636427,9.16063750947706,47.59489528795812,BASELINE,belt_anchorage,3.004413264502658,32.7969888710744,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BUCKET|DEFORMED BY INTRUSION|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|MID POSITION
110163355.0,110163357.0,110163398.0,FRONT LEFT SIDE,DRIVER,SEAT AT FORWARD MOST POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,7.878118624048789,0,0.672794206367598,-0.0,4.1364502968912245,0.308752706139629,0.17402939977504894,0.24997825300834742,1.532180363642271,0.016927121558869277,-0.0,0.7870062766658016,7.878118624048789,32.96793193717277,BASELINE,seat_track_position,4.1364502968912245,52.50555994757775,FRONT LEFT SIDE|DRIVER|SEAT AT FORWARD MOST POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
134005054.0,134005058.0,134005380.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,NORMAL POSTURE,BUCKET,DEFORMED BY OCCUPANT,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,7.932486656708434,0,0.672794206367598,-0.0,1.8171717804178111,0.2962999526953211,0.21373406051926952,0.34407966234536597,1.4241731740239048,0.016927121558869277,-0.0,3.1473066987802936,7.932486656708434,33.80235602094241,BASELINE,seat_performance,3.1473066987802936,39.67616757500177,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN MIDDLE AND REAR|NORMAL POSTURE|BUCKET|DEFORMED BY OCCUPANT|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005063.0,134005065.0,134005246.0,FRONT LEFT SIDE,DRIVER,SEAT AT REAR MOST POSITION,NORMAL POSTURE,BUCKET,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,7.699922330993859,0,0.672794206367598,-0.0,2.0250513720553673,0.3717886094140868,0.2646206567257453,0.394052474149508,1.4241731740239048,0.016927121558869277,-0.0,2.53051471669878,7.699922330993859,29.662958115183248,BASELINE,seat_performance,2.53051471669878,32.86415898655119,FRONT LEFT SIDE|DRIVER|SEAT AT REAR MOST POSITION|NORMAL POSTURE|BUCKET|DEFORMED BY INTRUSION|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005287.0,897000704.0,897000748.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,OTHER ABNORMAL POSTURE,BOX MOUNTED,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,13.468348064682512,0,0.672794206367598,-0.0,1.8171717804178111,5.280107919192735,3.807354922057604,0.34792330342030686,1.040641984497346,0.016927121558869277,-0.0,0.4854268271702417,13.468348064682512,87.10732984293193,MODERATE,seat_type,5.280107919192735,39.20382732785576,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN MIDDLE AND REAR|OTHER ABNORMAL POSTURE|BOX MOUNTED|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
134005293.0,134005294.0,134007662.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN FORWARD AND MIDDLE,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,MID POSITION,7.66472802833248,0,0.672794206367598,-0.0,2.6425397762979714,0.24528655768362542,0.19025980039563886,0.2420212280853805,3.004413264502658,0.016927121558869277,-0.0,0.6504860734407383,7.66472802833248,27.89594240837696,BASELINE,belt_anchorage,3.004413264502658,39.19791091604187,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN FORWARD AND MIDDLE|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|MID POSITION
134005296.0,134007671.0,134007764.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN FORWARD AND MIDDLE,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,6.1924951274720925,0,0.672794206367598,-0.0,2.6425397762979714,0.24528655768362542,0.19025980039563886,0.2420212280853805,1.532180363642271,0.016927121558869277,-0.0,0.6504860734407383,6.1924951274720925,13.399869109947643,BASELINE,seat_track_position,2.6425397762979714,42.67326371521445,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN FORWARD AND MIDDLE|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
134005297.0,897001309.0,10409.0,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,UNKNOWN/UNMAPPED,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,9.501162933807683,0,0.672794206367598,-0.0,5.176714167104952,1.3356030317844387,-0.0,0.22239242133644802,-0.0,0.03476541816067664,2.0588936890535687,-0.0,9.501162933807683,52.01243455497382,BASELINE,seat_track_position,5.176714167104952,54.48505833622552,FRONT LEFT SIDE|DRIVER|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|UNKNOWN/UNMAPPED|UNKNOWN/UNMAPPED|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN
134005299.0,134007672.0,897001143.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,5.421524737431055,0,0.672794206367598,-0.0,1.8171717804178111,0.2962999526953211,0.21373406051926952,0.34407966234536597,1.4241731740239048,0.016927121558869277,-0.0,0.6363447795029143,5.421524737431055,1.030759162303665,BASELINE,seat_track_position,1.8171717804178111,33.517725518649264,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN MIDDLE AND REAR|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005300.0,897001132.0,10059.0,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,UNKNOWN/UNMAPPED,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,9.501162933807683,0,0.672794206367598,-0.0,5.176714167104952,1.3356030317844387,-0.0,0.22239242133644802,-0.0,0.03476541816067664,2.0588936890535687,-0.0,9.501162933807683,52.01243455497382,BASELINE,seat_track_position,5.176714167104952,54.48505833622552,FRONT LEFT SIDE|DRIVER|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|UNKNOWN/UNMAPPED|UNKNOWN/UNMAPPED|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN|NOT COLLECTED/UNKNOWN
